Customer Part #,Mouser #,Mfr. #,Manufacturer,Desc.,RoHS,Lifecycle,Order Qty.,Price (USD),Ext.: (USD)
C29,581-06035C221K,06035C221KAT2A,AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 220pF 10% X7R,RoHS Compliant By Exemption,,1,$0.15,$0.15
C1,81-GRM1555C1H2R2BA1D,GRM1555C1H2R2BA01D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2pF 50volts C0G +/-0.1pF,RoHS Compliant,,1,$0.10,$0.10
"C15, C20, C23",581-04025A680J,04025A680JAT2A,AVX,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 68pF 50volts C0G 5%,RoHS Compliant,,3,$0.10,$0.30
"C16, C24, C25",81-GRM155R71C104KA88,GRM155R71C104KA88D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0.1uF 16volts X7R 10%,RoHS Compliant,,3,$0.10,$0.30
C17,81-GRM36X103K25,GRM155R71E103KA01D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0.01uF 25volts X7R 10%,RoHS Compliant,,1,$0.10,$0.10
"C18, C32",810-C1608X5R1C225K,C1608X5R1C225K,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 16volts 2.2uF X5R 10%,RoHS Compliant,,2,$0.17,$0.34
"C19, C21",810-C1608C0G1H270J,C1608C0G1H270J080AA,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 27pF 50volts C0G 5%,RoHS Compliant,,2,$0.10,$0.20
"C2, C6, C12, C14",81-GRM1555C1H102JA1D,GRM1555C1H102JA01D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1000pF 50volts C0G 5%,RoHS Compliant,,4,$0.10,$0.40
C22,810-C1608X5R1C105K,C1608X5R1C105K080AA,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1uF 16volts X5R 10%,RoHS Compliant,,1,$0.10,$0.10
"C26, C27, C28, C30, C",810-C1608X7R1H104K,C1608X7R1H104K080AA,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.1uF 50volts X7R 10%,RoHS Compliant,,6,$0.10,$0.60
C3,81-GRM1555C1H1R0BA1D,GRM1555C1H1R0BA01D,Murata,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1.0pF 50volts C0G +/-0.1pF,RoHS Compliant,,1,$0.10,$0.10
